table,dataset,row_label,imr,metric,reported_value,reported_std,source_id,source_line,evidence_scope,group_id
2,IEMOCAP,MoMKE,"(0.5,0.3,0.7)",w-F1,59.94,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.5,0.7,0.3)",Acc,50.77,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.5,0.7,0.3)",w-F1,50.15,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.7,0.3,0.5)",Acc,58.26,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.7,0.3,0.5)",w-F1,58.45,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.7,0.5,0.3)",Acc,54.78,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.7,0.5,0.3)",w-F1,54.92,,T2,28,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.3,0.5,0.7)",Acc,61.98,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.3,0.5,0.7)",w-F1,60.68,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.3,0.7,0.5)",Acc,61.98,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.3,0.7,0.5)",w-F1,61.46,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.5,0.3,0.7)",Acc,61.37,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.5,0.3,0.7)",w-F1,60.45,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.5,0.7,0.3)",Acc,58.1,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.5,0.7,0.3)",w-F1,58.22,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.7,0.3,0.5)",Acc,61.74,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.7,0.3,0.5)",w-F1,60.9,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.7,0.5,0.3)",Acc,57.73,,T2,29,existing_table_transcription_only,
2,IEMOCAP,Ada2I,"(0.7,0.5,0.3)",w-F1,54.76,,T2,29,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.3,0.5,0.7)",Acc,46.27,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.3,0.5,0.7)",w-F1,46.32,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.3,0.7,0.5)",Acc,43.38,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.3,0.7,0.5)",w-F1,43.4,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.5,0.3,0.7)",Acc,50.15,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.5,0.3,0.7)",w-F1,47.92,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.5,0.7,0.3)",Acc,43.69,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.5,0.7,0.3)",w-F1,43.6,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.7,0.3,0.5)",Acc,50.59,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.7,0.3,0.5)",w-F1,50.53,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.7,0.5,0.3)",Acc,46.09,,T2,30,existing_table_transcription_only,
2,IEMOCAP,RedCore,"(0.7,0.5,0.3)",w-F1,46.21,,T2,30,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.3,0.5,0.7)",Acc,58.84,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.3,0.5,0.7)",w-F1,58.8,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.3,0.7,0.5)",Acc,54.65,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.3,0.7,0.5)",w-F1,54.61,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.5,0.3,0.7)",Acc,60.5,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.5,0.3,0.7)",w-F1,60.25,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.5,0.7,0.3)",Acc,56.19,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.5,0.7,0.3)",w-F1,56.11,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.7,0.3,0.5)",Acc,58.84,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.7,0.3,0.5)",w-F1,58.63,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.7,0.5,0.3)",Acc,58.72,,T2,31,existing_table_transcription_only,
2,IEMOCAP,Mi-CGA,"(0.7,0.5,0.3)",w-F1,58.22,,T2,31,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.3,0.5,0.7)",Acc,59.46,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.3,0.5,0.7)",w-F1,59.34,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.3,0.7,0.5)",Acc,54.16,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.3,0.7,0.5)",w-F1,53.59,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.5,0.3,0.7)",Acc,58.53,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.5,0.3,0.7)",w-F1,58.42,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.5,0.7,0.3)",Acc,56.56,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.5,0.7,0.3)",w-F1,56.77,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.7,0.3,0.5)",Acc,55.14,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.7,0.3,0.5)",w-F1,55.22,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.7,0.5,0.3)",Acc,55.45,,T2,32,existing_table_transcription_only,
2,IEMOCAP,SDR-GNN,"(0.7,0.5,0.3)",w-F1,55.17,,T2,32,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.3,0.5,0.7)",Acc,46.52,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.3,0.5,0.7)",w-F1,45.54,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.3,0.7,0.5)",Acc,44.36,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.3,0.7,0.5)",w-F1,43.48,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.5,0.3,0.7)",Acc,50.65,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.5,0.3,0.7)",w-F1,49.22,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.5,0.7,0.3)",Acc,42.64,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.5,0.7,0.3)",w-F1,41.7,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.7,0.3,0.5)",Acc,50.34,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.7,0.3,0.5)",w-F1,49.45,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.7,0.5,0.3)",Acc,44.73,,T2,33,existing_table_transcription_only,
2,IEMOCAP,MCE,"(0.7,0.5,0.3)",w-F1,44.4,,T2,33,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.3,0.5,0.7)",Acc,61.31,0.75,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.3,0.5,0.7)",w-F1,61.33,0.7,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.3,0.7,0.5)",Acc,57.36,0.76,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.3,0.7,0.5)",w-F1,57.0,0.83,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.5,0.3,0.7)",Acc,61.31,0.63,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.5,0.3,0.7)",w-F1,61.62,0.59,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.5,0.7,0.3)",Acc,57.64,1.1,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.5,0.7,0.3)",w-F1,57.64,1.22,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.7,0.3,0.5)",Acc,59.33,0.46,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.7,0.3,0.5)",w-F1,59.39,0.5,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.7,0.5,0.3)",Acc,60.26,0.83,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+BALM,"(0.7,0.5,0.3)",w-F1,60.58,0.96,T2,34,existing_table_transcription_only,
2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",Acc,61.85,1.03,T2,36,run_summary_and_log_excerpt_verified,G01
2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",w-F1,61.68,1.08,T2,36,run_summary_and_log_excerpt_verified,G01
2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",Acc,59.93,0.69,T2,36,run_summary_and_log_excerpt_verified,G02
2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",w-F1,59.2,0.5,T2,36,run_summary_and_log_excerpt_verified,G02
2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",Acc,65.16,1.46,T2,36,run_summary_and_log_excerpt_verified,G03
2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",w-F1,64.68,1.67,T2,36,run_summary_and_log_excerpt_verified,G03
2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",Acc,60.58,0.95,T2,36,run_summary_and_log_excerpt_verified,G04
2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",w-F1,60.22,0.92,T2,36,run_summary_and_log_excerpt_verified,G04
2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",Acc,65.35,0.92,T2,36,run_summary_and_log_excerpt_verified,G05
2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",w-F1,64.9,0.81,T2,36,run_summary_and_log_excerpt_verified,G05
2,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",Acc,62.38,0.48,T2,36,run_summary_and_log_excerpt_verified,G06
2,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",w-F1,61.87,0.35,T2,36,run_summary_and_log_excerpt_verified,G06
2,IEMOCAP,Delta (vs. original GCNet),"(0.3,0.5,0.7)",Acc,3.81,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.3,0.5,0.7)",w-F1,3.32,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.3,0.7,0.5)",Acc,3.12,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.3,0.7,0.5)",w-F1,2.37,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.5,0.3,0.7)",Acc,3.55,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.5,0.3,0.7)",w-F1,2.62,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.5,0.7,0.3)",Acc,3.77,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.5,0.7,0.3)",w-F1,3.23,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.7,0.3,0.5)",Acc,5.71,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.7,0.3,0.5)",w-F1,5.12,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.7,0.5,0.3)",Acc,3.29,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original GCNet),"(0.7,0.5,0.3)",w-F1,2.68,,T2,37,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.3,0.5,0.7)",Acc,6.54,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.3,0.5,0.7)",w-F1,7.54,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.3,0.7,0.5)",Acc,7.17,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.3,0.7,0.5)",w-F1,7.59,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.5,0.3,0.7)",Acc,7.74,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.5,0.3,0.7)",w-F1,8.61,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.5,0.7,0.3)",Acc,8.0,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.5,0.7,0.3)",w-F1,8.55,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.7,0.3,0.5)",Acc,9.05,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.7,0.3,0.5)",w-F1,9.55,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.7,0.5,0.3)",Acc,8.33,,T2,38,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [GCNet],"(0.7,0.5,0.3)",w-F1,9.04,,T2,38,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.3,0.5,0.7)",Acc,63.59,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.3,0.5,0.7)",w-F1,63.62,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.3,0.7,0.5)",Acc,59.09,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.3,0.7,0.5)",w-F1,58.99,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.5,0.3,0.7)",Acc,64.63,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.5,0.3,0.7)",w-F1,64.95,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.5,0.7,0.3)",Acc,57.79,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.5,0.7,0.3)",w-F1,57.99,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.7,0.3,0.5)",Acc,64.14,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.7,0.3,0.5)",w-F1,64.27,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.7,0.5,0.3)",Acc,60.63,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN,"(0.7,0.5,0.3)",w-F1,60.85,,T2,42,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.3,0.5,0.7)",Acc,64.39,0.88,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.3,0.5,0.7)",w-F1,63.82,0.89,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.3,0.7,0.5)",Acc,60.07,0.7,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.3,0.7,0.5)",w-F1,60.04,0.65,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.5,0.3,0.7)",Acc,65.37,0.61,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.5,0.3,0.7)",w-F1,65.03,0.63,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.5,0.7,0.3)",Acc,62.29,0.75,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.5,0.7,0.3)",w-F1,62.35,0.7,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.7,0.3,0.5)",Acc,65.0,1.54,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.7,0.3,0.5)",w-F1,64.98,1.77,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.7,0.5,0.3)",Acc,61.74,0.96,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+BALM,"(0.7,0.5,0.3)",w-F1,61.2,0.82,T2,43,existing_table_transcription_only,
2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",Acc,64.65,1.33,T2,45,run_summary_and_log_excerpt_verified,G07
2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",w-F1,64.5,1.24,T2,45,run_summary_and_log_excerpt_verified,G07
2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",Acc,63.08,0.6,T2,45,run_summary_and_log_excerpt_verified,G08
2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",w-F1,62.73,0.49,T2,45,run_summary_and_log_excerpt_verified,G08
2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",Acc,65.41,0.52,T2,45,run_summary_and_log_excerpt_verified,G09
2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",w-F1,65.25,0.5,T2,45,run_summary_and_log_excerpt_verified,G09
2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",Acc,62.98,0.78,T2,45,run_summary_and_log_excerpt_verified,G10
2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",w-F1,62.68,0.88,T2,45,run_summary_and_log_excerpt_verified,G10
2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",Acc,64.05,1.61,T2,45,run_summary_and_log_excerpt_verified,G11
2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",w-F1,63.89,1.51,T2,45,run_summary_and_log_excerpt_verified,G11
2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",Acc,63.13,0.81,T2,45,run_summary_and_log_excerpt_verified,G12
2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",w-F1,62.8,0.74,T2,45,run_summary_and_log_excerpt_verified,G12
2,IEMOCAP,Delta (vs. original MMGCN),"(0.3,0.5,0.7)",Acc,1.06,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.3,0.5,0.7)",w-F1,0.88,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.3,0.7,0.5)",Acc,3.99,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.3,0.7,0.5)",w-F1,3.74,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.5,0.3,0.7)",Acc,0.78,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.5,0.3,0.7)",w-F1,0.3,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.5,0.7,0.3)",Acc,5.19,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.5,0.7,0.3)",w-F1,4.69,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.7,0.3,0.5)",Acc,-0.09,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.7,0.3,0.5)",w-F1,-0.38,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.7,0.5,0.3)",Acc,2.5,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta (vs. original MMGCN),"(0.7,0.5,0.3)",w-F1,1.95,,T2,46,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.3,0.5,0.7)",Acc,9.34,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.3,0.5,0.7)",w-F1,10.36,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.3,0.7,0.5)",Acc,10.33,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.3,0.7,0.5)",w-F1,11.12,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.5,0.3,0.7)",Acc,7.99,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.5,0.3,0.7)",w-F1,9.18,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.5,0.7,0.3)",Acc,10.4,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.5,0.7,0.3)",w-F1,11.02,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.7,0.3,0.5)",Acc,7.75,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.7,0.3,0.5)",w-F1,8.53,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.7,0.5,0.3)",Acc,9.08,,T2,47,existing_table_transcription_only,
2,IEMOCAP,Delta1 (vs. Group 1 mean) [MMGCN],"(0.7,0.5,0.3)",w-F1,9.98,,T2,47,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.3,0.5,0.7)",Acc,63.34,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.3,0.5,0.7)",w-F1,63.0,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.3,0.7,0.5)",Acc,60.38,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.3,0.7,0.5)",w-F1,60.01,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.5,0.3,0.7)",Acc,67.34,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.5,0.3,0.7)",w-F1,67.4,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.5,0.7,0.3)",Acc,57.92,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.5,0.7,0.3)",w-F1,56.25,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.7,0.3,0.5)",Acc,66.48,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.7,0.3,0.5)",w-F1,66.67,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.7,0.5,0.3)",Acc,63.65,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN,"(0.7,0.5,0.3)",w-F1,64.0,,T2,49,existing_table_transcription_only,
2,IEMOCAP,MM-DFN+BALM,"(0.3,0.5,0.7)",Acc,67.34,0.84,T2,50,existing_table_transcription_only,
2,IEMOCAP,MM-DFN+BALM,"(0.3,0.5,0.7)",w-F1,66.64,0.94,T2,50,existing_table_transcription_only,
2,IEMOCAP,MM-DFN+BALM,"(0.3,0.7,0.5)",Acc,63.4,0.45,T2,50,existing_table_transcription_only,
2,IEMOCAP,MM-DFN+BALM,"(0.3,0.7,0.5)",w-F1,63.11,0.47,T2,50,existing_table_transcription_only,
2,IEMOCAP,MM-DFN+BALM,"(0.5,0.3,0.7)",Acc,68.76,0.22,T2,50,existing_table_transcription_only,
